-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/30/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
43.0,-116.25,2023,1,6.59
43.0,-115.625,2023,1,4.53
43.0,-115.0,2023,1,4.32
43.0,-114.375,2023,1,4.51
43.0,-113.75,2023,1,6.45
43.0,-113.125,2023,1,8.75
43.0,-112.5,2023,1,8.57
43.0,-111.875,2023,1,6.42
43.0,-111.25,2023,1,2.98
43.0,-110.625,2023,1,3.35
43.5,-116.25,2023,1,4.27
43.5,-115.625,2023,1,3.36
43.5,-115.0,2023,1,4.69
43.5,-114.375,2023,1,6.81
43.5,-113.75,2023,1,7.3
43.5,-113.125,2023,1,7.68
43.5,-112.5,2023,1,8.78
43.5,-111.875,2023,1,6.75
43.5,-111.25,2023,1,3.28
43.5,-110.625,2023,1,3.76
44.0,-116.25,2023,1,4.5
44.0,-115.625,2023,1,2.96
44.0,-115.0,2023,1,3.35
44.0,-114.375,2023,1,4.49
44.0,-113.75,2023,1,6.51
44.0,-113.125,2023,1,7.33
44.0,-112.5,2023,1,8.25
44.0,-111.875,2023,1,6.83
44.0,-111.25,2023,1,4.29
44.0,-110.625,2023,1,3.27
44.5,-116.25,2023,1,3.91
44.5,-115.625,2023,1,3.1
44.5,-115.0,2023,1,2.87
44.5,-114.375,2023,1,3.0
44.5,-113.75,2023,1,4.24
44.5,-113.125,2023,1,5.55
44.5,-112.5,2023,1,5.99
44.5,-111.875,2023,1,4.55
44.5,-111.25,2023,1,3.11
44.5,-110.625,2023,1,2.88
45.0,-116.25,2023,1,2.81
45.0,-115.625,2023,1,2.57
45.0,-115.0,2023,1,2.39
45.0,-114.375,2023,1,2.26
45.0,-113.75,2023,1,2.99
45.0,-113.125,2023,1,3.42
45.0,-112.5,2023,1,4.0
45.0,-111.875,2023,1,3.01
45.0,-111.25,2023,1,2.48
45.0,-110.625,2023,1,2.32
45.5,-116.25,2023,1,2.11
45.5,-115.625,2023,1,1.8
45.5,-115.0,2023,1,1.72
45.5,-114.375,2023,1,1.8
45.5,-113.75,2023,1,2.03
45.5,-113.125,2023,1,2.35
45.5,-112.5,2023,1,2.88
45.5,-111.875,2023,1,2.41
45.5,-111.25,2023,1,2.15
45.5,-110.625,2023,1,2.36
46.0,-116.25,2023,1,2.17
46.0,-115.625,2023,1,1.58
46.0,-115.0,2023,1,1.81
46.0,-114.375,2023,1,1.87
46.0,-113.75,2023,1,2.02
46.0,-113.125,2023,1,2.19
46.0,-112.5,2023,1,2.34
46.0,-111.875,2023,1,2.46
46.0,-111.25,2023,1,2.49
46.0,-110.625,2023,1,2.98
43.0,-116.25,2023,2,4.56
43.0,-115.625,2023,2,2.91
43.0,-115.0,2023,2,3.42
43.0,-114.375,2023,2,4.38
43.0,-113.75,2023,2,4.91
43.0,-113.125,2023,2,5.54
43.0,-112.5,2023,2,4.68
43.0,-111.875,2023,2,2.76
43.0,-111.25,2023,2,2.22
43.0,-110.625,2023,2,2.91
43.5,-116.25,2023,2,3.63
43.5,-115.625,2023,2,3.52
43.5,-115.0,2023,2,3.22
43.5,-114.375,2023,2,4.99
43.5,-113.75,2023,2,5.59
43.5,-113.125,2023,2,5.99
43.5,-112.5,2023,2,7.07
43.5,-111.875,2023,2,3.69
43.5,-111.25,2023,2,2.57
43.5,-110.625,2023,2,3.35
44.0,-116.25,2023,2,3.99
44.0,-115.625,2023,2,2.89
44.0,-115.0,2023,2,2.97
44.0,-114.375,2023,2,2.72
44.0,-113.75,2023,2,4.08
44.0,-113.125,2023,2,5.05
44.0,-112.5,2023,2,7.6
44.0,-111.875,2023,2,6.16
44.0,-111.25,2023,2,3.32
44.0,-110.625,2023,2,3.22
44.5,-116.25,2023,2,4.56
44.5,-115.625,2023,2,3.34
44.5,-115.0,2023,2,2.8
44.5,-114.375,2023,2,2.75
44.5,-113.75,2023,2,2.9
44.5,-113.125,2023,2,3.05
44.5,-112.5,2023,2,4.2
44.5,-111.875,2023,2,4.35
44.5,-111.25,2023,2,2.98
44.5,-110.625,2023,2,3.17
45.0,-116.25,2023,2,2.71
45.0,-115.625,2023,2,3.06
45.0,-115.0,2023,2,2.51
45.0,-114.375,2023,2,1.95
45.0,-113.75,2023,2,2.39
45.0,-113.125,2023,2,2.83
45.0,-112.5,2023,2,2.97
45.0,-111.875,2023,2,2.95
45.0,-111.25,2023,2,3.05
45.0,-110.625,2023,2,3.01
45.5,-116.25,2023,2,2.43
45.5,-115.625,2023,2,2.25
45.5,-115.0,2023,2,2.19
45.5,-114.375,2023,2,2.18
45.5,-113.75,2023,2,2.39
45.5,-113.125,2023,2,2.47
45.5,-112.5,2023,2,2.81
45.5,-111.875,2023,2,3.1
45.5,-111.25,2023,2,2.91
45.5,-110.625,2023,2,3.2
46.0,-116.25,2023,2,2.81
46.0,-115.625,2023,2,2.34
46.0,-115.0,2023,2,2.55
46.0,-114.375,2023,2,2.3
46.0,-113.75,2023,2,3.04
46.0,-113.125,2023,2,2.67
