-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/30/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
46.0,-122.5,2023,1,3.36
46.0,-121.875,2023,1,3.47
46.0,-121.25,2023,1,2.44
46.0,-120.625,2023,1,3.87
46.5,-122.5,2023,1,3.14
46.5,-121.875,2023,1,3.07
46.5,-121.25,2023,1,2.05
46.5,-120.625,2023,1,3.36
47.0,-122.5,2023,1,2.59
47.0,-121.875,2023,1,3.16
47.0,-121.25,2023,1,2.39
47.0,-120.625,2023,1,2.59
47.5,-122.5,2023,1,2.18
47.5,-121.875,2023,1,3.34
47.5,-121.25,2023,1,2.66
47.5,-120.625,2023,1,2.3
48.0,-122.5,2023,1,2.78
48.0,-121.875,2023,1,3.15
48.0,-121.25,2023,1,2.78
48.0,-120.625,2023,1,1.92
48.5,-122.5,2023,1,3.36
48.5,-121.875,2023,1,2.36
48.5,-121.25,2023,1,2.04
48.5,-120.625,2023,1,2.17
46.0,-122.5,2023,2,4.94
46.0,-121.875,2023,2,4.82
46.0,-121.25,2023,2,4.59
46.0,-120.625,2023,2,5.63
46.5,-122.5,2023,2,3.93
46.5,-121.875,2023,2,4.45
46.5,-121.25,2023,2,3.39
46.5,-120.625,2023,2,3.38
47.0,-122.5,2023,2,3.17
47.0,-121.875,2023,2,4.4
47.0,-121.25,2023,2,4.0
47.0,-120.625,2023,2,2.75
47.5,-122.5,2023,2,2.76
47.5,-121.875,2023,2,4.47
47.5,-121.25,2023,2,4.41
47.5,-120.625,2023,2,2.75
48.0,-122.5,2023,2,3.19
48.0,-121.875,2023,2,3.68
48.0,-121.25,2023,2,3.6
48.0,-120.625,2023,2,2.49
48.5,-122.5,2023,2,3.44
48.5,-121.875,2023,2,3.07
48.5,-121.25,2023,2,3.01
48.5,-120.625,2023,2,2.6
46.0,-122.5,2023,3,3.06
46.0,-121.875,2023,3,2.72
46.0,-121.25,2023,3,2.29
46.0,-120.625,2023,3,4.12
46.5,-122.5,2023,3,2.96
46.5,-121.875,2023,3,2.58
46.5,-121.25,2023,3,1.82
46.5,-120.625,2023,3,2.19
47.0,-122.5,2023,3,3.01
47.0,-121.875,2023,3,2.97
47.0,-121.25,2023,3,2.08
47.0,-120.625,2023,3,2.37
47.5,-122.5,2023,3,2.92
47.5,-121.875,2023,3,3.29
47.5,-121.25,2023,3,2.55
47.5,-120.625,2023,3,1.83
48.0,-122.5,2023,3,3.24
48.0,-121.875,2023,3,3.18
48.0,-121.25,2023,3,2.8
48.0,-120.625,2023,3,1.93
48.5,-122.5,2023,3,3.5
48.5,-121.875,2023,3,2.68
48.5,-121.25,2023,3,3.03
48.5,-120.625,2023,3,2.17
46.0,-122.5,2023,4,6.96
46.0,-121.875,2023,4,6.9
46.0,-121.25,2023,4,6.25
46.0,-120.625,2023,4,7.96
46.5,-122.5,2023,4,5.99
46.5,-121.875,2023,4,6.69
46.5,-121.25,2023,4,4.47
46.5,-120.625,2023,4,5.13
47.0,-122.5,2023,4,5.2
47.0,-121.875,2023,4,6.98
47.0,-121.25,2023,4,5.55
47.0,-120.625,2023,4,4.09
47.5,-122.5,2023,4,3.8
47.5,-121.875,2023,4,7.18
47.5,-121.25,2023,4,6.35
47.5,-120.625,2023,4,3.55
48.0,-122.5,2023,4,4.19
48.0,-121.875,2023,4,5.73
48.0,-121.25,2023,4,6.09
48.0,-120.625,2023,4,3.49
48.5,-122.5,2023,4,5.13
48.5,-121.875,2023,4,4.9
48.5,-121.25,2023,4,5.08
48.5,-120.625,2023,4,4.0
46.0,-122.5,2023,5,5.85
46.0,-121.875,2023,5,6.32
46.0,-121.25,2023,5,5.17
46.0,-120.625,2023,5,6.34
46.5,-122.5,2023,5,5.6
46.5,-121.875,2023,5,6.56
46.5,-121.25,2023,5,3.91
46.5,-120.625,2023,5,4.67
47.0,-122.5,2023,5,4.81
47.0,-121.875,2023,5,6.83
47.0,-121.25,2023,5,5.57
47.0,-120.625,2023,5,4.29
47.5,-122.5,2023,5,4.57
47.5,-121.875,2023,5,7.02
47.5,-121.25,2023,5,5.92
47.5,-120.625,2023,5,3.72
48.0,-122.5,2023,5,4.41
48.0,-121.875,2023,5,5.58
48.0,-121.25,2023,5,5.89
48.0,-120.625,2023,5,3.6
48.5,-122.5,2023,5,6.61
48.5,-121.875,2023,5,4.83
48.5,-121.25,2023,5,5.09
48.5,-120.625,2023,5,3.79
46.0,-122.5,2023,6,3.29
46.0,-121.875,2023,6,3.01
46.0,-121.25,2023,6,2.93
46.0,-120.625,2023,6,3.39
46.5,-122.5,2023,6,3.89
46.5,-121.875,2023,6,3.38
46.5,-121.25,2023,6,2.27
46.5,-120.625,2023,6,2.93
47.0,-122.5,2023,6,3.42
47.0,-121.875,2023,6,3.46
47.0,-121.25,2023,6,2.94
47.0,-120.625,2023,6,2.43
47.5,-122.5,2023,6,3.82
47.5,-121.875,2023,6,4.17
47.5,-121.25,2023,6,3.31
47.5,-120.625,2023,6,2.19
48.0,-122.5,2023,6,4.2
48.0,-121.875,2023,6,4.0
48.0,-121.25,2023,6,3.1
48.0,-120.625,2023,6,2.01
48.5,-122.5,2023,6,4.92
48.5,-121.875,2023,6,3.06
48.5,-121.25,2023,6,2.62
48.5,-120.625,2023,6,2.06
46.0,-122.5,2023,7,3.38
46.0,-121.875,2023,7,3.21
46.0,-121.25,2023,7,2.76
46.0,-120.625,2023,7,4.03
46.5,-122.5,2023,7,3.33
46.5,-121.875,2023,7,3.34
46.5,-121.25,2023,7,2.08
46.5,-120.625,2023,7,2.71
47.0,-122.5,2023,7,2.58
47.0,-121.875,2023,7,3.15
47.0,-121.25,2023,7,2.97
47.0,-120.625,2023,7,2.76
47.5,-122.5,2023,7,2.35
47.5,-121.875,2023,7,3.24
47.5,-121.25,2023,7,3.5
47.5,-120.625,2023,7,2.84
48.0,-122.5,2023,7,3.15
48.0,-121.875,2023,7,3.23
48.0,-121.25,2023,7,2.88
48.0,-120.625,2023,7,2.78
48.5,-122.5,2023,7,3.82
48.5,-121.875,2023,7,2.56
48.5,-121.25,2023,7,2.38
48.5,-120.625,2023,7,3.46
46.0,-122.5,2023,8,3.51
46.0,-121.875,2023,8,3.31
46.0,-121.25,2023,8,3.66
46.0,-120.625,2023,8,6.22
46.5,-122.5,2023,8,3.6
46.5,-121.875,2023,8,3.44
46.5,-121.25,2023,8,3.54
46.5,-120.625,2023,8,3.7
47.0,-122.5,2023,8,3.52
47.0,-121.875,2023,8,3.71
47.0,-121.25,2023,8,3.13
47.0,-120.625,2023,8,2.65
47.5,-122.5,2023,8,4.75
47.5,-121.875,2023,8,3.9
47.5,-121.25,2023,8,3.34
47.5,-120.625,2023,8,2.49
48.0,-122.5,2023,8,4.33
48.0,-121.875,2023,8,3.28
48.0,-121.25,2023,8,3.26
48.0,-120.625,2023,8,2.32
48.5,-122.5,2023,8,4.95
48.5,-121.875,2023,8,2.68
48.5,-121.25,2023,8,2.52
48.5,-120.625,2023,8,2.58
46.0,-122.5,2023,9,5.48
