-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/30/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
42.5,-123.125,2023,1,2.8
42.5,-122.5,2023,1,3.5
42.5,-121.875,2023,1,2.88
42.5,-121.25,2023,1,4.51
42.5,-120.625,2023,1,4.63
42.5,-120.0,2023,1,6.12
42.5,-119.375,2023,1,6.65
42.5,-118.75,2023,1,6.67
42.5,-118.125,2023,1,6.64
42.5,-117.5,2023,1,7.34
43.0,-123.125,2023,1,2.93
43.0,-122.5,2023,1,3.54
43.0,-121.875,2023,1,2.75
43.0,-121.25,2023,1,3.21
43.0,-120.625,2023,1,4.78
43.0,-120.0,2023,1,5.6
43.0,-119.375,2023,1,5.71
43.0,-118.75,2023,1,5.56
43.0,-118.125,2023,1,6.58
43.0,-117.5,2023,1,8.09
43.5,-123.125,2023,1,3.0
43.5,-122.5,2023,1,3.53
43.5,-121.875,2023,1,2.85
43.5,-121.25,2023,1,2.79
43.5,-120.625,2023,1,4.7
43.5,-120.0,2023,1,5.59
43.5,-119.375,2023,1,5.24
43.5,-118.75,2023,1,5.26
43.5,-118.125,2023,1,6.03
43.5,-117.5,2023,1,6.76
44.0,-123.125,2023,1,2.51
44.0,-122.5,2023,1,3.27
44.0,-121.875,2023,1,2.84
44.0,-121.25,2023,1,3.11
44.0,-120.625,2023,1,3.27
44.0,-120.0,2023,1,4.18
44.0,-119.375,2023,1,3.62
44.0,-118.75,2023,1,3.41
44.0,-118.125,2023,1,5.41
44.0,-117.5,2023,1,6.09
44.5,-123.125,2023,1,3.02
44.5,-122.5,2023,1,3.3
44.5,-121.875,2023,1,2.76
44.5,-121.25,2023,1,2.73
44.5,-120.625,2023,1,2.77
44.5,-120.0,2023,1,2.66
44.5,-119.375,2023,1,2.93
44.5,-118.75,2023,1,2.38
44.5,-118.125,2023,1,3.79
44.5,-117.5,2023,1,4.68
45.0,-123.125,2023,1,2.81
45.0,-122.5,2023,1,3.64
45.0,-121.875,2023,1,2.8
45.0,-121.25,2023,1,2.09
45.0,-120.625,2023,1,2.46
45.0,-120.0,2023,1,2.71
45.0,-119.375,2023,1,3.35
45.0,-118.75,2023,1,2.84
45.0,-118.125,2023,1,2.42
