-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
33.0,-123.75,2024,1,6.04
33.0,-123.125,2024,1,6.31
33.0,-122.5,2024,1,6.29
33.0,-121.875,2024,1,6.97
33.0,-121.25,2024,1,7.52
33.0,-120.625,2024,1,7.95
33.0,-120.0,2024,1,7.6
33.0,-119.375,2024,1,6.18
33.0,-118.75,2024,1,5.36
33.0,-118.125,2024,1,4.68
33.0,-117.5,2024,1,4.85
33.0,-116.875,2024,1,4.74
33.0,-116.25,2024,1,3.13
33.0,-115.625,2024,1,3.85
33.0,-115.0,2024,1,3.25
33.0,-114.375,2024,1,3.56
33.5,-123.75,2024,1,5.22
33.5,-123.125,2024,1,6.36
33.5,-122.5,2024,1,6.7
33.5,-121.875,2024,1,6.89
33.5,-121.25,2024,1,7.53
33.5,-120.625,2024,1,8.03
33.5,-120.0,2024,1,7.2
33.5,-119.375,2024,1,5.65
33.5,-118.75,2024,1,5.64
33.5,-118.125,2024,1,4.9
33.5,-117.5,2024,1,4.45
33.5,-116.875,2024,1,4.06
33.5,-116.25,2024,1,3.34
33.5,-115.625,2024,1,3.74
33.5,-115.0,2024,1,3.43
33.5,-114.375,2024,1,3.12
34.0,-123.75,2024,1,5.7
34.0,-123.125,2024,1,6.52
34.0,-122.5,2024,1,6.45
34.0,-121.875,2024,1,6.68
34.0,-121.25,2024,1,7.6
34.0,-120.625,2024,1,7.52
34.0,-120.0,2024,1,5.12
34.0,-119.375,2024,1,5.05
34.0,-118.75,2024,1,5.07
34.0,-118.125,2024,1,3.82
34.0,-117.5,2024,1,3.24
34.0,-116.875,2024,1,3.75
34.0,-116.25,2024,1,3.46
34.0,-115.625,2024,1,3.92
34.0,-115.0,2024,1,3.81
34.0,-114.375,2024,1,3.11
34.5,-123.75,2024,1,6.5
34.5,-123.125,2024,1,6.32
34.5,-122.5,2024,1,5.78
34.5,-121.875,2024,1,6.21
34.5,-121.25,2024,1,7.35
34.5,-120.625,2024,1,6.46
34.5,-120.0,2024,1,3.54
34.5,-119.375,2024,1,2.67
34.5,-118.75,2024,1,5.11
34.5,-118.125,2024,1,4.86
34.5,-117.5,2024,1,3.57
34.5,-116.875,2024,1,3.7
34.5,-116.25,2024,1,3.56
34.5,-115.625,2024,1,3.84
34.5,-115.0,2024,1,4.06
34.5,-114.375,2024,1,3.5
35.0,-123.75,2024,1,6.55
35.0,-123.125,2024,1,5.87
35.0,-122.5,2024,1,5.16
35.0,-121.875,2024,1,5.68
35.0,-121.25,2024,1,5.75
35.0,-120.625,2024,1,5.15
35.0,-120.0,2024,1,4.49
35.0,-119.375,2024,1,3.52
35.0,-118.75,2024,1,5.08
35.0,-118.125,2024,1,5.29
35.0,-117.5,2024,1,4.53
35.0,-116.875,2024,1,3.7
35.0,-116.25,2024,1,3.09
35.0,-115.625,2024,1,4.07
35.0,-115.0,2024,1,4.29
35.0,-114.375,2024,1,3.49
35.5,-123.75,2024,1,5.94
35.5,-123.125,2024,1,5.28
35.5,-122.5,2024,1,4.68
35.5,-121.875,2024,1,5.07
35.5,-121.25,2024,1,4.1
35.5,-120.625,2024,1,3.62
35.5,-120.0,2024,1,3.34
35.5,-119.375,2024,1,3.41
35.5,-118.75,2024,1,3.65
35.5,-118.125,2024,1,4.87
35.5,-117.5,2024,1,4.42
35.5,-116.875,2024,1,3.16
35.5,-116.25,2024,1,2.85
35.5,-115.625,2024,1,4.46
35.5,-115.0,2024,1,3.72
35.5,-114.375,2024,1,2.37
36.0,-123.75,2024,1,4.53
36.0,-123.125,2024,1,4.17
36.0,-122.5,2024,1,3.95
36.0,-121.875,2024,1,3.82
36.0,-121.25,2024,1,2.75
36.0,-120.625,2024,1,2.54
36.0,-120.0,2024,1,2.89
36.0,-119.375,2024,1,3.67
36.0,-118.75,2024,1,2.75
36.0,-118.125,2024,1,3.52
36.0,-117.5,2024,1,3.75
36.0,-116.875,2024,1,2.4
36.0,-116.25,2024,1,2.46
36.0,-115.625,2024,1,4.26
36.0,-115.0,2024,1,3.79
36.0,-114.375,2024,1,2.42
36.5,-123.75,2024,1,3.62
36.5,-123.125,2024,1,3.43
36.5,-122.5,2024,1,3.04
36.5,-121.875,2024,1,3.05
36.5,-121.25,2024,1,1.72
36.5,-120.625,2024,1,2.79
36.5,-120.0,2024,1,3.16
36.5,-119.375,2024,1,3.31
36.5,-118.75,2024,1,2.2
36.5,-118.125,2024,1,2.9
36.5,-117.5,2024,1,2.63
36.5,-116.875,2024,1,2.49
36.5,-116.25,2024,1,2.98
36.5,-115.625,2024,1,3.84
36.5,-115.0,2024,1,3.72
36.5,-114.375,2024,1,3.62
37.0,-123.75,2024,1,3.56
37.0,-123.125,2024,1,2.84
37.0,-122.5,2024,1,2.47
37.0,-121.875,2024,1,2.24
37.0,-121.25,2024,1,1.71
37.0,-120.625,2024,1,3.13
37.0,-120.0,2024,1,3.75
37.0,-119.375,2024,1,2.42
37.0,-118.75,2024,1,2.07
37.0,-118.125,2024,1,2.09
37.0,-117.5,2024,1,2.63
37.0,-116.875,2024,1,3.39
37.0,-116.25,2024,1,3.67
