-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
42.5,-120.0,2024,1,4.66
42.5,-119.375,2024,1,5.1
42.5,-118.75,2024,1,3.65
42.5,-118.125,2024,1,2.79
42.5,-117.5,2024,1,3.46
42.5,-116.875,2024,1,3.03
42.5,-116.25,2024,1,2.49
42.5,-115.625,2024,1,2.85
42.5,-115.0,2024,1,3.03
42.5,-114.375,2024,1,3.03
42.5,-113.75,2024,1,2.65
42.5,-113.125,2024,1,2.05
42.5,-112.5,2024,1,2.06
42.5,-111.875,2024,1,2.07
42.5,-111.25,2024,1,2.05
43.0,-120.0,2024,1,4.7
43.0,-119.375,2024,1,4.3
43.0,-118.75,2024,1,4.2
43.0,-118.125,2024,1,2.27
43.0,-117.5,2024,1,3.12
43.0,-116.875,2024,1,3.32
43.0,-116.25,2024,1,3.03
43.0,-115.625,2024,1,3.16
43.0,-115.0,2024,1,4.22
43.0,-114.375,2024,1,3.97
43.0,-113.75,2024,1,3.15
43.0,-113.125,2024,1,2.16
43.0,-112.5,2024,1,1.97
43.0,-111.875,2024,1,2.63
43.0,-111.25,2024,1,2.25
43.5,-120.0,2024,1,4.89
43.5,-119.375,2024,1,3.42
43.5,-118.75,2024,1,2.9
43.5,-118.125,2024,1,2.81
43.5,-117.5,2024,1,2.34
43.5,-116.875,2024,1,2.27
43.5,-116.25,2024,1,2.8
43.5,-115.625,2024,1,2.27
43.5,-115.0,2024,1,2.58
43.5,-114.375,2024,1,2.03
43.5,-113.75,2024,1,1.88
43.5,-113.125,2024,1,2.6
43.5,-112.5,2024,1,1.72
43.5,-111.875,2024,1,2.71
43.5,-111.25,2024,1,2.47
44.0,-120.0,2024,1,5.08
44.0,-119.375,2024,1,3.5
44.0,-118.75,2024,1,2.24
44.0,-118.125,2024,1,2.04
44.0,-117.5,2024,1,2.14
44.0,-116.875,2024,1,1.48
44.0,-116.25,2024,1,2.78
44.0,-115.625,2024,1,2.16
44.0,-115.0,2024,1,1.42
44.0,-114.375,2024,1,1.24
44.0,-113.75,2024,1,1.44
44.0,-113.125,2024,1,1.81
44.0,-112.5,2024,1,2.56
44.0,-111.875,2024,1,1.73
44.0,-111.25,2024,1,2.7
44.5,-120.0,2024,1,4.98
44.5,-119.375,2024,1,3.86
44.5,-118.75,2024,1,2.46
44.5,-118.125,2024,1,2.19
44.5,-117.5,2024,1,1.6
