-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
45.5,-111.25,2024,1,3.01
45.5,-110.625,2024,1,3.61
45.5,-110.0,2024,1,5.27
45.5,-109.375,2024,1,6.14
45.5,-108.75,2024,1,5.41
45.5,-108.125,2024,1,6.47
45.5,-107.5,2024,1,6.27
45.5,-106.875,2024,1,6.62
45.5,-106.25,2024,1,6.26
45.5,-105.625,2024,1,5.66
45.5,-105.0,2024,1,5.3
46.0,-111.25,2024,1,3.15
46.0,-110.625,2024,1,4.47
46.0,-110.0,2024,1,6.83
46.0,-109.375,2024,1,7.33
46.0,-108.75,2024,1,7.35
46.0,-108.125,2024,1,7.25
46.0,-107.5,2024,1,6.71
46.0,-106.875,2024,1,6.75
46.0,-106.25,2024,1,6.39
46.0,-105.625,2024,1,5.98
46.0,-105.0,2024,1,5.77
46.5,-111.25,2024,1,3.04
46.5,-110.625,2024,1,4.5
46.5,-110.0,2024,1,6.71
46.5,-109.375,2024,1,7.42
46.5,-108.75,2024,1,7.83
46.5,-108.125,2024,1,8.13
46.5,-107.5,2024,1,8.42
46.5,-106.875,2024,1,8.31
46.5,-106.25,2024,1,7.91
46.5,-105.625,2024,1,7.21
46.5,-105.0,2024,1,6.43
47.0,-111.25,2024,1,3.69
47.0,-110.625,2024,1,5.45
47.0,-110.0,2024,1,7.1
47.0,-109.375,2024,1,8.49
47.0,-108.75,2024,1,10.16
47.0,-108.125,2024,1,9.15
47.0,-107.5,2024,1,10.08
47.0,-106.875,2024,1,9.96
47.0,-106.25,2024,1,9.3
47.0,-105.625,2024,1,8.8
47.0,-105.0,2024,1,8.06
47.5,-111.25,2024,1,6.01
47.5,-110.625,2024,1,8.0
47.5,-110.0,2024,1,9.06
47.5,-109.375,2024,1,9.03
47.5,-108.75,2024,1,10.13
47.5,-108.125,2024,1,9.57
47.5,-107.5,2024,1,9.92
47.5,-106.875,2024,1,9.99
47.5,-106.25,2024,1,9.57
47.5,-105.625,2024,1,9.32
47.5,-105.0,2024,1,8.92
48.0,-111.25,2024,1,8.12
48.0,-110.625,2024,1,8.52
48.0,-110.0,2024,1,8.58
48.0,-109.375,2024,1,8.81
48.0,-108.75,2024,1,9.29
48.0,-108.125,2024,1,9.5
48.0,-107.5,2024,1,9.42
48.0,-106.875,2024,1,9.13
48.0,-106.25,2024,1,8.64
48.0,-105.625,2024,1,8.48
48.0,-105.0,2024,1,8.38
48.5,-111.25,2024,1,9.48
48.5,-110.625,2024,1,9.16
48.5,-110.0,2024,1,9.06
48.5,-109.375,2024,1,9.09
48.5,-108.75,2024,1,8.38
48.5,-108.125,2024,1,8.57
48.5,-107.5,2024,1,8.06
48.5,-106.875,2024,1,7.81
48.5,-106.25,2024,1,7.89
48.5,-105.625,2024,1,8.22
48.5,-105.0,2024,1,8.21
45.5,-111.25,2024,2,3.77
45.5,-110.625,2024,2,4.41
45.5,-110.0,2024,2,5.37
45.5,-109.375,2024,2,5.04
45.5,-108.75,2024,2,2.86
45.5,-108.125,2024,2,5.9
45.5,-107.5,2024,2,4.56
45.5,-106.875,2024,2,4.39
45.5,-106.25,2024,2,3.5
45.5,-105.625,2024,2,3.43
45.5,-105.0,2024,2,4.19
46.0,-111.25,2024,2,4.03
46.0,-110.625,2024,2,4.72
46.0,-110.0,2024,2,6.85
46.0,-109.375,2024,2,5.77
46.0,-108.75,2024,2,4.78
46.0,-108.125,2024,2,5.24
46.0,-107.5,2024,2,5.01
46.0,-106.875,2024,2,5.07
46.0,-106.25,2024,2,4.31
46.0,-105.625,2024,2,3.49
46.0,-105.0,2024,2,3.88
46.5,-111.25,2024,2,2.79
46.5,-110.625,2024,2,4.29
46.5,-110.0,2024,2,6.26
46.5,-109.375,2024,2,6.05
46.5,-108.75,2024,2,5.92
46.5,-108.125,2024,2,5.35
46.5,-107.5,2024,2,4.91
46.5,-106.875,2024,2,4.72
46.5,-106.25,2024,2,4.74
46.5,-105.625,2024,2,4.41
46.5,-105.0,2024,2,4.32
47.0,-111.25,2024,2,4.03
47.0,-110.625,2024,2,4.63
47.0,-110.0,2024,2,4.73
47.0,-109.375,2024,2,4.78
47.0,-108.75,2024,2,5.58
47.0,-108.125,2024,2,3.29
47.0,-107.5,2024,2,3.68
47.0,-106.875,2024,2,3.63
47.0,-106.25,2024,2,4.37
47.0,-105.625,2024,2,4.4
47.0,-105.0,2024,2,4.93
47.5,-111.25,2024,2,6.06
47.5,-110.625,2024,2,6.77
47.5,-110.0,2024,2,5.53
47.5,-109.375,2024,2,5.1
47.5,-108.75,2024,2,5.51
47.5,-108.125,2024,2,4.06
47.5,-107.5,2024,2,3.7
47.5,-106.875,2024,2,3.79
47.5,-106.25,2024,2,4.09
47.5,-105.625,2024,2,4.71
47.5,-105.0,2024,2,4.97
48.0,-111.25,2024,2,5.23
48.0,-110.625,2024,2,5.74
48.0,-110.0,2024,2,5.03
48.0,-109.375,2024,2,5.58
48.0,-108.75,2024,2,5.39
48.0,-108.125,2024,2,4.37
48.0,-107.5,2024,2,3.64
48.0,-106.875,2024,2,3.66
48.0,-106.25,2024,2,3.83
48.0,-105.625,2024,2,4.52
48.0,-105.0,2024,2,5.38
48.5,-111.25,2024,2,4.36
48.5,-110.625,2024,2,5.0
48.5,-110.0,2024,2,5.49
48.5,-109.375,2024,2,5.72
48.5,-108.75,2024,2,5.22
48.5,-108.125,2024,2,4.32
48.5,-107.5,2024,2,3.49
48.5,-106.875,2024,2,3.9
48.5,-106.25,2024,2,4.18
48.5,-105.625,2024,2,4.8
48.5,-105.0,2024,2,4.94
45.5,-111.25,2024,3,3.68
45.5,-110.625,2024,3,3.5
45.5,-110.0,2024,3,4.1
45.5,-109.375,2024,3,3.62
45.5,-108.75,2024,3,3.06
45.5,-108.125,2024,3,4.55
45.5,-107.5,2024,3,2.76
45.5,-106.875,2024,3,3.53
45.5,-106.25,2024,3,5.18
45.5,-105.625,2024,3,6.44
45.5,-105.0,2024,3,7.72
46.0,-111.25,2024,3,2.98
46.0,-110.625,2024,3,2.89
46.0,-110.0,2024,3,3.5
46.0,-109.375,2024,3,3.0
46.0,-108.75,2024,3,2.85
46.0,-108.125,2024,3,2.76
46.0,-107.5,2024,3,3.4
46.0,-106.875,2024,3,4.41
46.0,-106.25,2024,3,5.33
46.0,-105.625,2024,3,6.37
46.0,-105.0,2024,3,7.16
46.5,-111.25,2024,3,2.49
46.5,-110.625,2024,3,2.88
46.5,-110.0,2024,3,3.66
46.5,-109.375,2024,3,2.8
46.5,-108.75,2024,3,2.83
46.5,-108.125,2024,3,3.37
46.5,-107.5,2024,3,4.35
46.5,-106.875,2024,3,5.17
46.5,-106.25,2024,3,5.64
46.5,-105.625,2024,3,5.93
46.5,-105.0,2024,3,6.13
47.0,-111.25,2024,3,3.33
47.0,-110.625,2024,3,3.81
47.0,-110.0,2024,3,3.94
47.0,-109.375,2024,3,3.96
47.0,-108.75,2024,3,4.12
47.0,-108.125,2024,3,4.17
47.0,-107.5,2024,3,5.62
47.0,-106.875,2024,3,5.87
47.0,-106.25,2024,3,6.27
47.0,-105.625,2024,3,6.35
47.0,-105.0,2024,3,5.89
47.5,-111.25,2024,3,4.23
47.5,-110.625,2024,3,5.56
47.5,-110.0,2024,3,3.99
47.5,-109.375,2024,3,3.95
47.5,-108.75,2024,3,5.1
47.5,-108.125,2024,3,4.67
47.5,-107.5,2024,3,5.31
47.5,-106.875,2024,3,5.94
47.5,-106.25,2024,3,6.31
47.5,-105.625,2024,3,6.58
47.5,-105.0,2024,3,5.86
48.0,-111.25,2024,3,3.72
48.0,-110.625,2024,3,3.77
48.0,-110.0,2024,3,4.79
48.0,-109.375,2024,3,5.94
48.0,-108.75,2024,3,5.51
48.0,-108.125,2024,3,5.4
48.0,-107.5,2024,3,6.15
48.0,-106.875,2024,3,6.73
48.0,-106.25,2024,3,6.48
48.0,-105.625,2024,3,5.99
48.0,-105.0,2024,3,5.23
48.5,-111.25,2024,3,3.1
48.5,-110.625,2024,3,3.57
48.5,-110.0,2024,3,4.99
48.5,-109.375,2024,3,6.36
48.5,-108.75,2024,3,6.14
48.5,-108.125,2024,3,6.11
48.5,-107.5,2024,3,6.41
48.5,-106.875,2024,3,6.56
48.5,-106.25,2024,3,6.1
48.5,-105.625,2024,3,5.1
48.5,-105.0,2024,3,4.23
45.5,-111.25,2024,4,2.96
45.5,-110.625,2024,4,3.97
45.5,-110.0,2024,4,5.16
45.5,-109.375,2024,4,6.24
45.5,-108.75,2024,4,5.94
45.5,-108.125,2024,4,5.77
45.5,-107.5,2024,4,4.68
45.5,-106.875,2024,4,4.82
45.5,-106.25,2024,4,4.71
45.5,-105.625,2024,4,4.06
45.5,-105.0,2024,4,5.23
46.0,-111.25,2024,4,4.24
46.0,-110.625,2024,4,4.81
46.0,-110.0,2024,4,6.38
46.0,-109.375,2024,4,6.53
46.0,-108.75,2024,4,5.59
46.0,-108.125,2024,4,4.67
46.0,-107.5,2024,4,4.26
46.0,-106.875,2024,4,4.79
46.0,-106.25,2024,4,4.58
46.0,-105.625,2024,4,4.05
46.0,-105.0,2024,4,5.06
46.5,-111.25,2024,4,3.89
46.5,-110.625,2024,4,4.21
46.5,-110.0,2024,4,5.74
46.5,-109.375,2024,4,5.8
46.5,-108.75,2024,4,4.93
46.5,-108.125,2024,4,4.28
46.5,-107.5,2024,4,4.02
46.5,-106.875,2024,4,4.16
46.5,-106.25,2024,4,4.03
46.5,-105.625,2024,4,3.82
46.5,-105.0,2024,4,4.59
47.0,-111.25,2024,4,3.54
47.0,-110.625,2024,4,5.25
47.0,-110.0,2024,4,5.41
47.0,-109.375,2024,4,6.85
47.0,-108.75,2024,4,7.74
47.0,-108.125,2024,4,5.62
47.0,-107.5,2024,4,4.9
47.0,-106.875,2024,4,4.26
47.0,-106.25,2024,4,4.0
47.0,-105.625,2024,4,4.19
47.0,-105.0,2024,4,3.94
47.5,-111.25,2024,4,6.09
47.5,-110.625,2024,4,7.5
47.5,-110.0,2024,4,6.47
47.5,-109.375,2024,4,7.21
47.5,-108.75,2024,4,7.06
47.5,-108.125,2024,4,4.96
47.5,-107.5,2024,4,4.7
47.5,-106.875,2024,4,4.28
47.5,-106.25,2024,4,4.27
47.5,-105.625,2024,4,4.5
47.5,-105.0,2024,4,4.41
48.0,-111.25,2024,4,6.03
48.0,-110.625,2024,4,6.49
48.0,-110.0,2024,4,5.86
48.0,-109.375,2024,4,6.17
48.0,-108.75,2024,4,5.63
48.0,-108.125,2024,4,4.21
48.0,-107.5,2024,4,3.24
48.0,-106.875,2024,4,3.32
48.0,-106.25,2024,4,3.21
48.0,-105.625,2024,4,3.28
48.0,-105.0,2024,4,3.76
48.5,-111.25,2024,4,6.5
48.5,-110.625,2024,4,6.41
48.5,-110.0,2024,4,6.34
48.5,-109.375,2024,4,6.04
48.5,-108.75,2024,4,4.89
48.5,-108.125,2024,4,3.56
48.5,-107.5,2024,4,3.73
48.5,-106.875,2024,4,4.2
48.5,-106.25,2024,4,3.96
48.5,-105.625,2024,4,3.33
48.5,-105.0,2024,4,3.67
45.5,-111.25,2024,5,4.64
45.5,-110.625,2024,5,6.33
45.5,-110.0,2024,5,7.45
45.5,-109.375,2024,5,8.96
45.5,-108.75,2024,5,8.32
45.5,-108.125,2024,5,7.89
45.5,-107.5,2024,5,7.44
45.5,-106.875,2024,5,8.37
45.5,-106.25,2024,5,8.28
45.5,-105.625,2024,5,8.95
45.5,-105.0,2024,5,9.62
46.0,-111.25,2024,5,6.73
46.0,-110.625,2024,5,7.12
46.0,-110.0,2024,5,8.36
46.0,-109.375,2024,5,9.42
46.0,-108.75,2024,5,9.82
46.0,-108.125,2024,5,9.28
46.0,-107.5,2024,5,8.58
46.0,-106.875,2024,5,8.54
46.0,-106.25,2024,5,8.4
46.0,-105.625,2024,5,9.02
46.0,-105.0,2024,5,9.94
46.5,-111.25,2024,5,5.86
46.5,-110.625,2024,5,6.19
46.5,-110.0,2024,5,8.96
46.5,-109.375,2024,5,10.85
46.5,-108.75,2024,5,11.18
46.5,-108.125,2024,5,10.86
46.5,-107.5,2024,5,10.51
46.5,-106.875,2024,5,9.89
46.5,-106.25,2024,5,9.48
46.5,-105.625,2024,5,9.29
46.5,-105.0,2024,5,9.58
47.0,-111.25,2024,5,5.17
47.0,-110.625,2024,5,6.78
47.0,-110.0,2024,5,9.54
47.0,-109.375,2024,5,11.07
47.0,-108.75,2024,5,11.98
47.0,-108.125,2024,5,10.74
47.0,-107.5,2024,5,10.79
47.0,-106.875,2024,5,10.61
47.0,-106.25,2024,5,9.95
47.0,-105.625,2024,5,10.28
47.0,-105.0,2024,5,10.07
47.5,-111.25,2024,5,6.9
47.5,-110.625,2024,5,8.08
47.5,-110.0,2024,5,9.32
47.5,-109.375,2024,5,10.02
47.5,-108.75,2024,5,10.87
47.5,-108.125,2024,5,10.68
47.5,-107.5,2024,5,10.44
47.5,-106.875,2024,5,10.41
47.5,-106.25,2024,5,9.53
47.5,-105.625,2024,5,9.45
47.5,-105.0,2024,5,9.68
48.0,-111.25,2024,5,7.37
48.0,-110.625,2024,5,7.18
48.0,-110.0,2024,5,8.53
48.0,-109.375,2024,5,9.87
48.0,-108.75,2024,5,10.62
48.0,-108.125,2024,5,10.61
48.0,-107.5,2024,5,10.23
48.0,-106.875,2024,5,9.81
48.0,-106.25,2024,5,8.84
48.0,-105.625,2024,5,8.07
48.0,-105.0,2024,5,8.16
48.5,-111.25,2024,5,7.64
48.5,-110.625,2024,5,8.13
48.5,-110.0,2024,5,8.31
48.5,-109.375,2024,5,8.98
48.5,-108.75,2024,5,9.98
48.5,-108.125,2024,5,10.33
48.5,-107.5,2024,5,9.94
48.5,-106.875,2024,5,9.62
48.5,-106.25,2024,5,9.39
48.5,-105.625,2024,5,8.86
48.5,-105.0,2024,5,7.88
45.5,-111.25,2024,6,5.52
45.5,-110.625,2024,6,6.34
45.5,-110.0,2024,6,6.98
45.5,-109.375,2024,6,6.62
45.5,-108.75,2024,6,5.18
45.5,-108.125,2024,6,7.3
45.5,-107.5,2024,6,5.9
45.5,-106.875,2024,6,5.88
45.5,-106.25,2024,6,5.56
45.5,-105.625,2024,6,5.37
45.5,-105.0,2024,6,5.23
46.0,-111.25,2024,6,4.64
46.0,-110.625,2024,6,5.67
46.0,-110.0,2024,6,7.88
46.0,-109.375,2024,6,7.21
46.0,-108.75,2024,6,6.73
46.0,-108.125,2024,6,6.99
46.0,-107.5,2024,6,6.71
46.0,-106.875,2024,6,6.75
46.0,-106.25,2024,6,6.38
46.0,-105.625,2024,6,5.92
46.0,-105.0,2024,6,5.67
46.5,-111.25,2024,6,3.37
46.5,-110.625,2024,6,4.96
46.5,-110.0,2024,6,7.26
46.5,-109.375,2024,6,6.87
46.5,-108.75,2024,6,6.96
46.5,-108.125,2024,6,6.6
46.5,-107.5,2024,6,6.37
46.5,-106.875,2024,6,6.05
46.5,-106.25,2024,6,5.87
46.5,-105.625,2024,6,5.43
46.5,-105.0,2024,6,5.31
47.0,-111.25,2024,6,4.42
47.0,-110.625,2024,6,5.94
47.0,-110.0,2024,6,5.9
47.0,-109.375,2024,6,5.87
47.0,-108.75,2024,6,7.0
47.0,-108.125,2024,6,4.86
47.0,-107.5,2024,6,5.43
47.0,-106.875,2024,6,5.14
47.0,-106.25,2024,6,5.04
47.0,-105.625,2024,6,4.76
47.0,-105.0,2024,6,5.14
47.5,-111.25,2024,6,6.97
47.5,-110.625,2024,6,8.45
47.5,-110.0,2024,6,6.69
47.5,-109.375,2024,6,6.12
47.5,-108.75,2024,6,6.01
47.5,-108.125,2024,6,4.63
47.5,-107.5,2024,6,5.08
47.5,-106.875,2024,6,5.3
47.5,-106.25,2024,6,5.46
47.5,-105.625,2024,6,5.58
47.5,-105.0,2024,6,5.49
48.0,-111.25,2024,6,6.76
48.0,-110.625,2024,6,6.53
48.0,-110.0,2024,6,5.7
48.0,-109.375,2024,6,6.11
48.0,-108.75,2024,6,5.9
48.0,-108.125,2024,6,5.2
48.0,-107.5,2024,6,4.69
48.0,-106.875,2024,6,4.07
48.0,-106.25,2024,6,3.88
48.0,-105.625,2024,6,4.15
48.0,-105.0,2024,6,4.83
48.5,-111.25,2024,6,5.88
48.5,-110.625,2024,6,6.25
48.5,-110.0,2024,6,6.8
48.5,-109.375,2024,6,6.7
48.5,-108.75,2024,6,5.67
48.5,-108.125,2024,6,4.88
48.5,-107.5,2024,6,3.94
48.5,-106.875,2024,6,3.69
48.5,-106.25,2024,6,4.02
48.5,-105.625,2024,6,4.1
48.5,-105.0,2024,6,4.34
45.5,-111.25,2024,7,2.94
45.5,-110.625,2024,7,3.23
45.5,-110.0,2024,7,3.24
45.5,-109.375,2024,7,5.97
45.5,-108.75,2024,7,6.48
45.5,-108.125,2024,7,6.2
45.5,-107.5,2024,7,6.84
45.5,-106.875,2024,7,6.95
45.5,-106.25,2024,7,6.65
45.5,-105.625,2024,7,6.71
45.5,-105.0,2024,7,6.32
46.0,-111.25,2024,7,4.05
46.0,-110.625,2024,7,3.64
46.0,-110.0,2024,7,4.63
46.0,-109.375,2024,7,6.93
46.0,-108.75,2024,7,7.42
46.0,-108.125,2024,7,7.48
46.0,-107.5,2024,7,7.21
46.0,-106.875,2024,7,6.46
46.0,-106.25,2024,7,6.22
46.0,-105.625,2024,7,6.34
46.0,-105.0,2024,7,5.52
46.5,-111.25,2024,7,3.73
46.5,-110.625,2024,7,3.98
46.5,-110.0,2024,7,6.51
46.5,-109.375,2024,7,8.35
46.5,-108.75,2024,7,8.71
46.5,-108.125,2024,7,8.69
46.5,-107.5,2024,7,7.73
46.5,-106.875,2024,7,6.46
46.5,-106.25,2024,7,5.99
46.5,-105.625,2024,7,5.99
46.5,-105.0,2024,7,4.58
47.0,-111.25,2024,7,4.42
47.0,-110.625,2024,7,5.37
47.0,-110.0,2024,7,8.0
47.0,-109.375,2024,7,8.8
47.0,-108.75,2024,7,9.55
47.0,-108.125,2024,7,8.6
47.0,-107.5,2024,7,7.77
47.0,-106.875,2024,7,6.48
47.0,-106.25,2024,7,5.74
47.0,-105.625,2024,7,5.3
47.0,-105.0,2024,7,4.63
47.5,-111.25,2024,7,7.84
47.5,-110.625,2024,7,8.33
47.5,-110.0,2024,7,8.54
47.5,-109.375,2024,7,8.11
47.5,-108.75,2024,7,8.23
47.5,-108.125,2024,7,7.44
47.5,-107.5,2024,7,6.6
47.5,-106.875,2024,7,5.22
47.5,-106.25,2024,7,4.56
47.5,-105.625,2024,7,4.25
47.5,-105.0,2024,7,4.29
48.0,-111.25,2024,7,9.46
48.0,-110.625,2024,7,8.59
48.0,-110.0,2024,7,7.67
48.0,-109.375,2024,7,7.52
48.0,-108.75,2024,7,7.48
48.0,-108.125,2024,7,6.69
48.0,-107.5,2024,7,5.56
48.0,-106.875,2024,7,4.2
48.0,-106.25,2024,7,4.61
48.0,-105.625,2024,7,5.36
48.0,-105.0,2024,7,5.42
48.5,-111.25,2024,7,10.37
48.5,-110.625,2024,7,9.52
48.5,-110.0,2024,7,7.65
48.5,-109.375,2024,7,6.83
48.5,-108.75,2024,7,6.48
48.5,-108.125,2024,7,5.51
48.5,-107.5,2024,7,4.53
48.5,-106.875,2024,7,3.94
48.5,-106.25,2024,7,4.99
48.5,-105.625,2024,7,5.78
48.5,-105.0,2024,7,6.05
45.5,-111.25,2024,8,5.22
45.5,-110.625,2024,8,6.07
45.5,-110.0,2024,8,7.89
45.5,-109.375,2024,8,7.34
45.5,-108.75,2024,8,5.67
45.5,-108.125,2024,8,6.75
45.5,-107.5,2024,8,6.58
45.5,-106.875,2024,8,6.6
45.5,-106.25,2024,8,5.86
45.5,-105.625,2024,8,6.17
45.5,-105.0,2024,8,6.62
46.0,-111.25,2024,8,5.8
46.0,-110.625,2024,8,6.49
46.0,-110.0,2024,8,8.23
46.0,-109.375,2024,8,8.38
46.0,-108.75,2024,8,7.85
46.0,-108.125,2024,8,7.21
46.0,-107.5,2024,8,6.0
46.0,-106.875,2024,8,5.34
46.0,-106.25,2024,8,5.26
46.0,-105.625,2024,8,5.29
46.0,-105.0,2024,8,5.62
46.5,-111.25,2024,8,4.88
46.5,-110.625,2024,8,5.86
46.5,-110.0,2024,8,7.72
46.5,-109.375,2024,8,7.6
46.5,-108.75,2024,8,7.2
