-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
42.0,-123.75,2024,1,2.07
42.0,-123.125,2024,1,2.14
42.0,-122.5,2024,1,2.33
42.0,-121.875,2024,1,3.31
42.0,-121.25,2024,1,4.39
42.0,-120.625,2024,1,4.12
42.0,-120.0,2024,1,4.99
42.0,-119.375,2024,1,5.35
42.0,-118.75,2024,1,4.41
42.0,-118.125,2024,1,3.83
42.0,-117.5,2024,1,3.39
42.0,-116.875,2024,1,2.74
42.5,-123.75,2024,1,1.93
42.5,-123.125,2024,1,2.2
42.5,-122.5,2024,1,2.7
42.5,-121.875,2024,1,2.3
42.5,-121.25,2024,1,3.2
42.5,-120.625,2024,1,3.38
42.5,-120.0,2024,1,4.66
42.5,-119.375,2024,1,5.1
42.5,-118.75,2024,1,3.65
42.5,-118.125,2024,1,2.79
42.5,-117.5,2024,1,3.46
42.5,-116.875,2024,1,3.03
43.0,-123.75,2024,1,2.29
43.0,-123.125,2024,1,2.27
43.0,-122.5,2024,1,2.36
43.0,-121.875,2024,1,2.12
43.0,-121.25,2024,1,2.7
43.0,-120.625,2024,1,4.3
43.0,-120.0,2024,1,4.7
43.0,-119.375,2024,1,4.3
43.0,-118.75,2024,1,4.2
43.0,-118.125,2024,1,2.27
43.0,-117.5,2024,1,3.12
43.0,-116.875,2024,1,3.32
43.5,-123.75,2024,1,2.17
43.5,-123.125,2024,1,2.39
43.5,-122.5,2024,1,2.35
43.5,-121.875,2024,1,1.91
43.5,-121.25,2024,1,2.97
43.5,-120.625,2024,1,5.27
43.5,-120.0,2024,1,4.89
43.5,-119.375,2024,1,3.42
43.5,-118.75,2024,1,2.9
43.5,-118.125,2024,1,2.81
43.5,-117.5,2024,1,2.34
43.5,-116.875,2024,1,2.27
44.0,-123.75,2024,1,2.62
44.0,-123.125,2024,1,1.93
44.0,-122.5,2024,1,2.1
44.0,-121.875,2024,1,1.94
44.0,-121.25,2024,1,4.07
44.0,-120.625,2024,1,5.66
44.0,-120.0,2024,1,5.08
44.0,-119.375,2024,1,3.5
44.0,-118.75,2024,1,2.24
44.0,-118.125,2024,1,2.04
44.0,-117.5,2024,1,2.14
44.0,-116.875,2024,1,1.48
44.5,-123.75,2024,1,2.87
44.5,-123.125,2024,1,2.37
44.5,-122.5,2024,1,2.27
44.5,-121.875,2024,1,2.01
44.5,-121.25,2024,1,3.31
44.5,-120.625,2024,1,4.73
44.5,-120.0,2024,1,4.98
44.5,-119.375,2024,1,3.86
44.5,-118.75,2024,1,2.46
44.5,-118.125,2024,1,2.19
44.5,-117.5,2024,1,1.6
44.5,-116.875,2024,1,2.07
45.0,-123.75,2024,1,2.96
45.0,-123.125,2024,1,2.07
45.0,-122.5,2024,1,2.76
45.0,-121.875,2024,1,2.21
45.0,-121.25,2024,1,2.21
45.0,-120.625,2024,1,2.75
45.0,-120.0,2024,1,3.48
45.0,-119.375,2024,1,3.54
45.0,-118.75,2024,1,3.49
45.0,-118.125,2024,1,2.7
45.0,-117.5,2024,1,1.86
45.0,-116.875,2024,1,2.28
45.5,-123.75,2024,1,3.91
45.5,-123.125,2024,1,2.19
45.5,-122.5,2024,1,2.93
45.5,-121.875,2024,1,2.89
45.5,-121.25,2024,1,2.72
45.5,-120.625,2024,1,4.22
45.5,-120.0,2024,1,4.04
45.5,-119.375,2024,1,2.5
45.5,-118.75,2024,1,4.56
45.5,-118.125,2024,1,4.49
45.5,-117.5,2024,1,2.94
45.5,-116.875,2024,1,2.55
46.0,-123.75,2024,1,4.37
46.0,-123.125,2024,1,2.47
46.0,-122.5,2024,1,3.14
46.0,-121.875,2024,1,2.95
46.0,-121.25,2024,1,2.49
46.0,-120.625,2024,1,4.31
46.0,-120.0,2024,1,4.5
46.0,-119.375,2024,1,3.61
46.0,-118.75,2024,1,2.1
46.0,-118.125,2024,1,2.92
46.0,-117.5,2024,1,2.07
46.0,-116.875,2024,1,2.5
42.0,-123.75,2024,2,4.53
42.0,-123.125,2024,2,4.08
42.0,-122.5,2024,2,4.72
42.0,-121.875,2024,2,7.36
42.0,-121.25,2024,2,7.29
42.0,-120.625,2024,2,6.27
42.0,-120.0,2024,2,6.64
42.0,-119.375,2024,2,7.57
42.0,-118.75,2024,2,6.9
42.0,-118.125,2024,2,6.64
42.0,-117.5,2024,2,6.62
42.0,-116.875,2024,2,6.66
42.5,-123.75,2024,2,3.7
42.5,-123.125,2024,2,3.66
42.5,-122.5,2024,2,4.21
42.5,-121.875,2024,2,4.29
42.5,-121.25,2024,2,6.01
42.5,-120.625,2024,2,5.44
42.5,-120.0,2024,2,6.71
42.5,-119.375,2024,2,7.72
42.5,-118.75,2024,2,6.7
42.5,-118.125,2024,2,6.95
42.5,-117.5,2024,2,6.74
42.5,-116.875,2024,2,6.29
43.0,-123.75,2024,2,3.46
43.0,-123.125,2024,2,3.54
43.0,-122.5,2024,2,3.99
43.0,-121.875,2024,2,3.96
43.0,-121.25,2024,2,5.43
43.0,-120.625,2024,2,7.0
43.0,-120.0,2024,2,6.69
43.0,-119.375,2024,2,7.07
43.0,-118.75,2024,2,6.93
43.0,-118.125,2024,2,5.13
43.0,-117.5,2024,2,4.9
43.0,-116.875,2024,2,5.69
