-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
45.5,-125.0,2024,1,9.65
45.5,-124.375,2024,1,7.99
45.5,-123.75,2024,1,3.91
45.5,-123.125,2024,1,2.19
45.5,-122.5,2024,1,2.93
45.5,-121.875,2024,1,2.89
45.5,-121.25,2024,1,2.72
45.5,-120.625,2024,1,4.22
45.5,-120.0,2024,1,4.04
45.5,-119.375,2024,1,2.5
45.5,-118.75,2024,1,4.56
45.5,-118.125,2024,1,4.49
45.5,-117.5,2024,1,2.94
45.5,-116.875,2024,1,2.55
45.5,-116.25,2024,1,2.33
46.0,-125.0,2024,1,9.78
46.0,-124.375,2024,1,7.66
46.0,-123.75,2024,1,4.37
46.0,-123.125,2024,1,2.47
46.0,-122.5,2024,1,3.14
46.0,-121.875,2024,1,2.95
46.0,-121.25,2024,1,2.49
46.0,-120.625,2024,1,4.31
46.0,-120.0,2024,1,4.5
46.0,-119.375,2024,1,3.61
46.0,-118.75,2024,1,2.1
46.0,-118.125,2024,1,2.92
46.0,-117.5,2024,1,2.07
46.0,-116.875,2024,1,2.5
46.0,-116.25,2024,1,2.6
46.5,-125.0,2024,1,9.9
46.5,-124.375,2024,1,7.74
46.5,-123.75,2024,1,3.34
46.5,-123.125,2024,1,2.01
46.5,-122.5,2024,1,2.64
46.5,-121.875,2024,1,2.57
46.5,-121.25,2024,1,1.78
46.5,-120.625,2024,1,2.32
46.5,-120.0,2024,1,2.78
46.5,-119.375,2024,1,3.17
46.5,-118.75,2024,1,2.51
46.5,-118.125,2024,1,3.04
46.5,-117.5,2024,1,3.01
46.5,-116.875,2024,1,2.65
46.5,-116.25,2024,1,2.42
47.0,-125.0,2024,1,9.89
47.0,-124.375,2024,1,6.82
47.0,-123.75,2024,1,2.88
47.0,-123.125,2024,1,1.94
47.0,-122.5,2024,1,2.32
47.0,-121.875,2024,1,3.03
47.0,-121.25,2024,1,2.14
47.0,-120.625,2024,1,1.84
47.0,-120.0,2024,1,3.22
47.0,-119.375,2024,1,4.14
47.0,-118.75,2024,1,4.74
47.0,-118.125,2024,1,4.01
47.0,-117.5,2024,1,3.86
47.0,-116.875,2024,1,2.29
47.0,-116.25,2024,1,1.97
47.5,-125.0,2024,1,10.06
47.5,-124.375,2024,1,6.38
47.5,-123.75,2024,1,2.26
47.5,-123.125,2024,1,1.77
47.5,-122.5,2024,1,1.48
47.5,-121.875,2024,1,3.37
47.5,-121.25,2024,1,2.71
47.5,-120.625,2024,1,1.46
47.5,-120.0,2024,1,2.01
47.5,-119.375,2024,1,3.12
47.5,-118.75,2024,1,4.44
47.5,-118.125,2024,1,3.58
47.5,-117.5,2024,1,2.74
47.5,-116.875,2024,1,1.93
47.5,-116.25,2024,1,1.71
48.0,-125.0,2024,1,8.31
48.0,-124.375,2024,1,3.08
48.0,-123.75,2024,1,2.14
48.0,-123.125,2024,1,2.21
48.0,-122.5,2024,1,2.35
48.0,-121.875,2024,1,3.03
48.0,-121.25,2024,1,2.55
48.0,-120.625,2024,1,1.21
48.0,-120.0,2024,1,1.41
48.0,-119.375,2024,1,1.87
48.0,-118.75,2024,1,2.28
48.0,-118.125,2024,1,1.81
48.0,-117.5,2024,1,1.42
48.0,-116.875,2024,1,1.55
48.0,-116.25,2024,1,1.71
48.5,-125.0,2024,1,6.28
48.5,-124.375,2024,1,3.33
48.5,-123.75,2024,1,3.2
48.5,-123.125,2024,1,4.51
48.5,-122.5,2024,1,2.95
48.5,-121.875,2024,1,2.26
48.5,-121.25,2024,1,2.04
48.5,-120.625,2024,1,1.67
48.5,-120.0,2024,1,1.1
48.5,-119.375,2024,1,1.34
48.5,-118.75,2024,1,1.37
48.5,-118.125,2024,1,1.3
48.5,-117.5,2024,1,1.4
48.5,-116.875,2024,1,1.79
48.5,-116.25,2024,1,1.52
49.0,-125.0,2024,1,2.82
49.0,-124.375,2024,1,1.72
49.0,-123.75,2024,1,2.44
49.0,-123.125,2024,1,3.35
49.0,-122.5,2024,1,2.43
49.0,-121.875,2024,1,1.87
49.0,-121.25,2024,1,1.75
49.0,-120.625,2024,1,2.09
49.0,-120.0,2024,1,2.05
49.0,-119.375,2024,1,1.71
49.0,-118.75,2024,1,1.72
49.0,-118.125,2024,1,1.26
49.0,-117.5,2024,1,1.45
49.0,-116.875,2024,1,1.63
49.0,-116.25,2024,1,1.75
45.5,-125.0,2024,2,14.36
45.5,-124.375,2024,2,10.87
45.5,-123.75,2024,2,5.19
45.5,-123.125,2024,2,3.49
45.5,-122.5,2024,2,4.15
45.5,-121.875,2024,2,3.52
45.5,-121.25,2024,2,3.56
45.5,-120.625,2024,2,4.72
45.5,-120.0,2024,2,3.32
45.5,-119.375,2024,2,4.15
45.5,-118.75,2024,2,7.41
45.5,-118.125,2024,2,6.98
45.5,-117.5,2024,2,5.52
45.5,-116.875,2024,2,5.65
45.5,-116.25,2024,2,3.41
46.0,-125.0,2024,2,14.47
46.0,-124.375,2024,2,10.95
46.0,-123.75,2024,2,5.83
46.0,-123.125,2024,2,3.49
46.0,-122.5,2024,2,3.96
46.0,-121.875,2024,2,3.64
46.0,-121.25,2024,2,3.57
46.0,-120.625,2024,2,5.73
46.0,-120.0,2024,2,5.65
46.0,-119.375,2024,2,3.98
46.0,-118.75,2024,2,3.69
46.0,-118.125,2024,2,3.61
46.0,-117.5,2024,2,3.47
46.0,-116.875,2024,2,3.83
46.0,-116.25,2024,2,3.73
46.5,-125.0,2024,2,14.85
46.5,-124.375,2024,2,11.0
46.5,-123.75,2024,2,5.08
46.5,-123.125,2024,2,3.15
46.5,-122.5,2024,2,3.28
46.5,-121.875,2024,2,3.42
46.5,-121.25,2024,2,2.52
46.5,-120.625,2024,2,3.2
46.5,-120.0,2024,2,3.46
46.5,-119.375,2024,2,2.87
46.5,-118.75,2024,2,1.69
46.5,-118.125,2024,2,3.17
46.5,-117.5,2024,2,4.41
46.5,-116.875,2024,2,4.3
46.5,-116.25,2024,2,3.15
47.0,-125.0,2024,2,14.99
47.0,-124.375,2024,2,10.1
47.0,-123.75,2024,2,4.7
47.0,-123.125,2024,2,2.43
47.0,-122.5,2024,2,2.8
47.0,-121.875,2024,2,3.69
47.0,-121.25,2024,2,2.87
47.0,-120.625,2024,2,2.64
47.0,-120.0,2024,2,4.24
47.0,-119.375,2024,2,4.69
47.0,-118.75,2024,2,4.68
47.0,-118.125,2024,2,4.76
47.0,-117.5,2024,2,5.01
47.0,-116.875,2024,2,3.16
47.0,-116.25,2024,2,2.17
47.5,-125.0,2024,2,14.84
47.5,-124.375,2024,2,9.54
47.5,-123.75,2024,2,3.65
47.5,-123.125,2024,2,2.16
47.5,-122.5,2024,2,2.47
47.5,-121.875,2024,2,3.91
47.5,-121.25,2024,2,3.49
47.5,-120.625,2024,2,2.24
47.5,-120.0,2024,2,3.6
47.5,-119.375,2024,2,4.62
47.5,-118.75,2024,2,5.08
47.5,-118.125,2024,2,4.57
47.5,-117.5,2024,2,3.58
47.5,-116.875,2024,2,2.51
47.5,-116.25,2024,2,1.87
48.0,-125.0,2024,2,13.21
48.0,-124.375,2024,2,4.37
48.0,-123.75,2024,2,3.54
48.0,-123.125,2024,2,3.33
48.0,-122.5,2024,2,2.84
48.0,-121.875,2024,2,3.4
48.0,-121.25,2024,2,3.24
48.0,-120.625,2024,2,1.79
48.0,-120.0,2024,2,2.22
48.0,-119.375,2024,2,3.41
48.0,-118.75,2024,2,3.63
48.0,-118.125,2024,2,2.55
48.0,-117.5,2024,2,2.05
48.0,-116.875,2024,2,1.91
48.0,-116.25,2024,2,1.76
48.5,-125.0,2024,2,8.53
48.5,-124.375,2024,2,4.72
48.5,-123.75,2024,2,5.38
48.5,-123.125,2024,2,7.31
48.5,-122.5,2024,2,3.49
48.5,-121.875,2024,2,3.03
48.5,-121.25,2024,2,2.56
48.5,-120.625,2024,2,2.07
48.5,-120.0,2024,2,1.64
48.5,-119.375,2024,2,1.94
48.5,-118.75,2024,2,1.84
48.5,-118.125,2024,2,1.81
48.5,-117.5,2024,2,1.79
48.5,-116.875,2024,2,1.91
48.5,-116.25,2024,2,1.76
49.0,-125.0,2024,2,4.35
49.0,-124.375,2024,2,3.18
49.0,-123.75,2024,2,4.47
49.0,-123.125,2024,2,4.07
49.0,-122.5,2024,2,2.68
49.0,-121.875,2024,2,2.02
49.0,-121.25,2024,2,2.0
49.0,-120.625,2024,2,2.36
49.0,-120.0,2024,2,2.05
49.0,-119.375,2024,2,1.38
49.0,-118.75,2024,2,2.03
49.0,-118.125,2024,2,1.84
49.0,-117.5,2024,2,2.21
49.0,-116.875,2024,2,2.21
49.0,-116.25,2024,2,1.73
45.5,-125.0,2024,3,10.55
45.5,-124.375,2024,3,9.18
45.5,-123.75,2024,3,3.79
45.5,-123.125,2024,3,2.54
45.5,-122.5,2024,3,2.69
45.5,-121.875,2024,3,1.9
45.5,-121.25,2024,3,2.39
45.5,-120.625,2024,3,3.52
45.5,-120.0,2024,3,4.07
45.5,-119.375,2024,3,4.04
45.5,-118.75,2024,3,4.67
45.5,-118.125,2024,3,4.68
45.5,-117.5,2024,3,3.07
45.5,-116.875,2024,3,2.71
45.5,-116.25,2024,3,2.19
46.0,-125.0,2024,3,10.34
46.0,-124.375,2024,3,8.67
46.0,-123.75,2024,3,3.79
46.0,-123.125,2024,3,2.34
46.0,-122.5,2024,3,2.56
46.0,-121.875,2024,3,2.05
46.0,-121.25,2024,3,2.34
46.0,-120.625,2024,3,4.31
46.0,-120.0,2024,3,5.41
46.0,-119.375,2024,3,4.61
46.0,-118.75,2024,3,4.22
46.0,-118.125,2024,3,3.16
46.0,-117.5,2024,3,2.45
46.0,-116.875,2024,3,2.44
46.0,-116.25,2024,3,2.6
